Categorical,Date,Url,Pred,Title,Summary,ModelVersion,id
clxb8y9a400ml80pydfwmrmlv,2024-06-13 07:41:00,https://vtv.vn/kinh-te/gia-cuoc-van-tai-bien-tang-thang-dung-20240612220106854.htm,"Cục Hàng hải Việt Nam vừa có văn bản yêu cầu Cục Hàng không Việt Nam kiểm tra xử lý vụ ""chạy xe máy bay"", để đảm bảo an toàn, an toàn cho các doanh nghiệp xuất khẩu đi nước ngoài với những địa điểm cực lớn.",Giá cước vận tải biển tăng thẳng đứng,"Trong thời gian ngắn, giá cước vận tải biển bất ngờ tăng vọt khiến cho các doanh nghiệp xuất khẩu lao đao và đang nỗ lực tìm kiếm giải pháp vượt khó.",0.1.1,030bf908-74ca-4dcb-a27b-0ebd412c06d4
clxb8y9a400ml80pydfwmrmlv,2024-06-13 07:40:00,https://vtv.vn/kinh-te/eu-ap-thue-hon-38-doi-voi-xe-dien-trung-quoc-20240612212321095.htm,Bộ Thương mại Trung Quốc vừa thông báo sẽ áp đặt mức thuế tạm thời lên đến hơn 38% đối với xe điện nhập khẩu từ Trung Quốc.,EU áp thuế hơn 38% đối với xe điện Trung Quốc,Ủy ban châu Âu vừa thông báo sẽ áp đặt mức thuế tạm thời lên đến hơn 38% đối với xe điện nhập khẩu từ Trung Quốc.,0.1.1,ef1a11a4-183c-46e4-b811-08021b961ef0
clxb8y9a400ml80pydfwmrmlv,2024-06-13 07:39:00,https://vtv.vn/kinh-te/mua-ban-tren-thi-truong-thuong-mai-dien-tu-thuan-tien-lam-rui-ro-nhieu-20240612212317703.htm,"Từ ngày 12/6 đến 12/6, các chuyên gia của tập đoàn Trung Quốc (TTD) đã gửi đến Việt Nam để thảo luận về cơ hội mua sắm trực tuyến với cơ hội lớn để quảng bá, giới thiệu về cơ hội mua sắm trực tuyến.","Mua bán trên thị trường thương mại điện tử: Thuận tiện lắm, rủi ro nhiều",Việt Nam nỗ lực hài hòa hóa các quy định pháp luật giữa các quốc gia để thúc đẩy thương mại bền vững những vẫn cố gắng bảo vệ quyền lợi của người tiêu dùng hiệu quả.,0.1.1,ba5c8b25-adb8-4b99-b8b4-5f26e1ec9c93
clxb8y9a400ml80pydfwmrmlv,2024-06-13 07:38:00,https://vtv.vn/kinh-te/lam-phat-thang-5-cua-my-ha-nhiet-20240612223255353.htm,"Theo giờ Việt Nam, GDP năm 2024 của Mỹ đã hạ nhiệt sau khi công bố kết thúc, với mức giảm mạnh.",Lạm phát tháng 5 của Mỹ hạ nhiệt,"Chỉ số giá tiêu dùng CPI tháng 5/2024 của Mỹ đã hạ nhiệt khi tăng 3,3% so với cùng kỳ năm ngoái, thấp hơn mức tăng 3,4% của tháng trước đó.",0.1.1,bb30ba9e-0431-4f79-9323-b455d02a9e97
clxb8y9a400ml80pydfwmrmlv,2024-06-13 07:28:00,https://vtv.vn/kinh-te/3-ca-4-kip-day-nhanh-tien-do-cao-toc-dien-chau-bai-vot-20240612210645616.htm,"Từ ngày 10 đến ngày 30/6, 20 km cuối cùng của Dự án cao tốc Bắc - Vùng với nhiều thành công của kỳ vọng là do tai nạn.",“3 ca 4 kíp” đẩy nhanh tiến độ cao tốc Diễn Châu - Bãi Vọt,"Trong những ngày này, các đơn vị thi công đang tập trung đẩy nhanh tiến độ dự án cao tốc Diễn Châu Bãi Vọt để dự án về đích đúng kế hoạch.",0.1.1,93b3c431-7ff9-4a18-8f94-793b3ba8d215
clxb8y9a400ml80pydfwmrmlv,2024-06-13 11:29:00,https://vtv.vn/chinh-tri/thong-nhat-trinh-quoc-hoi-quyet-dinh-tiep-tuc-giam-2-thue-gtgt-den-het-2024-20240613112235085.htm,"Bộ Chính phủ vừa trình Chính phủ phân phối, trình xử lý nợ nợ với ngân sách quốc hội về giảm thuế thu thuế năm 2024.",Thống nhất trình Quốc hội quyết định tiếp tục giảm 2% thuế GTGT đến hết 2024,Ủy ban Thường vụ Quốc hội đã thống nhất trình Quốc hội xem xét quyết định việc giảm thuế giá trị gia tăng theo Tờ trình của Chính phủ.,0.1.1,bd5fc562-9740-4bab-a63f-ffb076696ce9
clxb8y9a400ml80pydfwmrmlv,2024-06-13 11:28:00,https://vtv.vn/kinh-te/gian-lan-thu-nghiem-an-toan-phu-bong-den-nganh-o-to-nhat-ban-20240613111145563.htm,Bộ trưởng Bộ Kinh tế và Du lịch vừa công bố báo cáo điều tra về việc xử lý các bộ phận liên quan đến hàng loạt thương hiệu xe lớn của Nhật Bản.,"Gian lận thử nghiệm an toàn phủ ""bóng đen"" ngành ô tô Nhật Bản","Các hãng ô tô lớn của Nhật Bản đang bị phủ bóng, sau khi vướng vào bê bối hồ sơ kiểm định an toàn.",0.1.1,559bece9-f2a8-44ac-b070-252fbfc27c99
clxb8y9a400ml80pydfwmrmlv,2024-06-13 11:28:00,https://vtv.vn/kinh-te/my-an-lien-viet-nam-khong-con-bi-kiem-soat-an-toan-thuc-pham-tai-eu-20240613103758079.htm,"Theo Cục Xuất xuất, từ nước ta không còn nằm trong danh sách phải kiểm soát an toàn thực phẩm tại EU do Trung Quốc sản xuất mỳ ăn liền nhập khẩu vào thị trường châu Âu.",Mỳ ăn liền Việt Nam không còn bị kiểm soát an toàn thực phẩm tại EU,Sản phẩm mỳ ăn liền nhập khẩu từ nước ta không còn nằm trong danh sách phải kiểm soát an toàn thực phẩm tại EU do đã đáp ứng đầy đủ tiêu chuẩn châu Âu.,0.1.1,08090ac0-923d-431d-9e7c-b3536be228d0
clxb8y9a400ml80pydfwmrmlv,2024-06-13 11:25:00,https://vtv.vn/kinh-te/gia-dau-tang-gan-muc-83-usd-thung-20240613105830381.htm,"Theo Bộ Bộ Bộ Bộ Bộ Bộ Tài chính, Bộ Công Thương, các nước đầu tư đã cung cấp. Tuy nhiên, có nơi chỉ cần có một sợi tăng với dầu.",Giá dầu tăng gần mức 83 USD/thùng,Giá dầu thế giới tăng trong phiên 12/6 do căng thẳng đang diễn ra ở Trung Đông hỗ trợ giá.,0.1.1,97c17f47-bad8-4e57-b9c7-102203f2aeb4
clxb8y9a400ml80pydfwmrmlv,2024-06-13 11:19:00,https://vtv.vn/kinh-te/bao-gio-cho-den-mua-ha-cua-fed-20240613101746.htm,"Từ cuối tháng 6, Cục Dự trữ Liên bang Mỹ (FED) đã tăng điểm ấn tượng với thị trường và FED.",Bao giờ cho đến “mùa hạ” của FED?,"Bây giờ đã là giữa tháng 6, nhưng thị trường vẫn hỏi nhau: Bao giờ thì FED mới bước vào ""mùa hạ"". ""Mùa hạ"" ở đây là hạ lãi suất.",0.1.1,c02952dc-5095-48ca-872d-bac6a3127ba4
